"Season","League","Player","Team","Age","Position","Goal-Scoring","Attack","Possession","Defense","Physical","Goalkeeping","PosRank","Grade"
"2025/26","Liga 2","José Sampaio","Vizela",21,"CB",79.66,52.24,35.82,62.94,38.51,0,26,"B"
"2025/26","Liga 2","Jota Gonçalves","Vizela",25,"CB",60.45,71.86,62.84,44.9,55.37,0,20,"B"
"2025/26","Liga 2","A. Hristov","Vizela",27,"CB",41.04,51.39,35.82,32.34,63.43,0,60,"E"
"2025/26","Liga 2","J. Rhyner","Vizela",29,"CB",23.51,33.05,54.63,56.84,57.01,0,35,"C"
"2025/26","Liga 2","Víctor Rofino","União de Leiria",23,"CB",77.8,58.85,80,43.41,61.94,0,19,"B"
"2025/26","Liga 2","José Pedro","União de Leiria",24,"CB",76.49,50.32,54.03,51.12,54.03,0,30,"C"
"2025/26","Liga 2","Genaro Rodríguez","União de Leiria",27,"CB",30.97,55.22,74.63,59.45,58.36,0,9,"A"
"2025/26","Liga 2","Marcelo","União de Leiria",36,"CB",63.25,41.68,38.96,66.67,28.51,0,25,"B"
"2025/26","Liga 2","Vasco Santos","UD Oliveirense",19,"CB",32.09,32.41,19.7,29.6,39.7,0,64,"F"
"2025/26","Liga 2","Simão Martins","UD Oliveirense",28,"CB",28.54,41.15,22.39,23.13,43.88,0,65,"F"
"2025/26","Liga 2","Frederico Namora","UD Oliveirense",28,"CB",19.78,40.94,73.13,44.15,46.57,0,34,"C"
"2025/26","Liga 2","Bura","UD Oliveirense",37,"CB",79.1,63.86,54.03,71.64,65.67,0,6,"A"
"2025/26","Liga 2","M. Diadié","Torreense",21,"CB",50.19,50.75,51.79,51.37,64.78,0,31,"C"
"2025/26","Liga 2","Stopira","Torreense",37,"CB",82.09,79.21,47.01,59.2,67.31,0,13,"A"
"2025/26","Liga 2","João Muniz","Sporting CP II",20,"CB",39.55,35.29,66.87,42.29,51.34,0,40,"C"
"2025/26","Liga 2","Bruno Ramos","Sporting CP II",21,"CB",77.61,60.55,68.96,57.21,59.4,0,14,"A"
"2025/26","Liga 2","David Moreira","Sporting CP II",21,"CB",20.15,46.8,65.82,47.39,55.82,0,29,"C"
"2025/26","Liga 2","Rômulo","Sporting CP II",22,"CB",38.81,27.19,34.33,34.83,25.52,0,62,"E"
"2025/26","Liga 2","Luís Gomes","Porto II",20,"CB",47.76,64.29,45.22,69.4,67.16,0,10,"A"
"2025/26","Liga 2","Gabriel Brás","Porto II",21,"CB",72.76,52.56,70.3,53.73,47.31,0,16,"B"
"2025/26","Liga 2","Felipe Silva","Porto II",24,"CB",34.7,20.58,64.78,51,32.24,0,39,"C"
"2025/26","Liga 2","Marlon Júnior","Portimonense",20,"CB",53.73,74.31,24.33,59.45,66.27,0,23,"B"
"2025/26","Liga 2","Jarleysom","Portimonense",21,"CB",60.45,54.48,17.61,53.61,38.51,0,47,"C"
"2025/26","Liga 2","Mateus Sarará","Portimonense",23,"CB",80.6,57.68,60,76.87,51.19,0,3,"S"
"2025/26","Liga 2","S. Bengui","Portimonense",26,"CB",63.81,65.14,65.07,67.29,67.16,0,5,"S"
"2025/26","Liga 2","Alexandre Abel","Portimonense",27,"CB",72.57,66.84,55.22,78.23,65.67,0,1,"S"
"2025/26","Liga 2","Douglas Grolli","Portimonense",36,"CB",59.7,47.65,26.87,64.3,25.97,0,33,"C"
"2025/26","Liga 2","Cláudio Silva","Penafiel",25,"CB",74.25,78.78,66.27,55.97,82.24,0,7,"A"
"2025/26","Liga 2","Jaime Sánchez","Penafiel",30,"CB",37.69,33.37,54.93,37.56,14.33,0,58,"D"
"2025/26","Liga 2","João Miguel","Penafiel",32,"CB",49.25,33.37,28.96,53.23,33.13,0,55,"D"
"2025/26","Liga 2","Kauan Ferreira","Paços de Ferreira",23,"CB",27.99,24.09,31.34,28.11,32.99,0,63,"F"
"2025/26","Liga 2","Tiago Ferreira","Paços de Ferreira",32,"CB",32.46,48.61,40.15,46.27,67.61,0,43,"C"
"2025/26","Liga 2","Rafael Vieira","Paços de Ferreira",33,"CB",45.34,60.87,53.73,56.09,42.39,0,18,"B"
"2025/26","Liga 2","N. Madsen","Marítimo",24,"CB",55.78,36.57,35.22,61.94,43.43,0,37,"C"
"2025/26","Liga 2","Romain Correia","Marítimo",26,"CB",76.68,66.95,57.91,39.68,57.16,0,32,"C"
"2025/26","Liga 2","Rodrigo Borges","Marítimo",27,"CB",52.61,51.6,35.67,48.63,55.82,0,41,"C"
"2025/26","Liga 2","Bruno Faria","Lusitania FC Lourosa",21,"CB",16.98,45.31,48.96,58.71,59.85,0,27,"B"
"2025/26","Liga 2","D. Collard","Lusitania FC Lourosa",25,"CB",95.71,70.58,64.03,69.4,65.07,0,2,"S"
"2025/26","Liga 2","Silvério","Lusitania FC Lourosa",30,"CB",65.67,52.67,43.28,32.34,30.3,0,59,"D"
"2025/26","Liga 2","Josué Sá","Lusitania FC Lourosa",33,"CB",51.87,53.3,67.16,26.87,54.78,0,51,"D"
"2025/26","Liga 2","L. Henriques","Leixões",21,"CB",33.02,41.79,45.22,46.52,47.76,0,45,"C"
"2025/26","Liga 2","Hugo Faria","Leixões",21,"CB",24.63,46.7,34.03,42.41,67.16,0,57,"D"
"2025/26","Liga 2","Rafael Santos","Leixões",28,"CB",16.6,16.74,36.42,63.43,21.94,0,46,"C"
"2025/26","Liga 2","Naldo","Leixões",37,"CB",43.1,31.24,28.66,69.65,28.66,0,36,"C"
"2025/26","Liga 2","Afonso Silva","Felgueiras 1932",21,"CB",60.07,62.26,47.61,68.16,55.97,0,11,"A"
"2025/26","Liga 2","Matheus Dario","Felgueiras 1932",22,"CB",47.76,61.3,57.61,54.35,59.4,0,17,"B"
"2025/26","Liga 2","João Pinto","Felgueiras 1932",25,"CB",37.69,36.25,36.12,48.76,18.96,0,52,"D"
"2025/26","Liga 2","Emanuel Fernandes","Feirense",22,"CB",84.89,67.91,62.09,32.21,49.1,0,38,"C"
"2025/26","Liga 2","Antonio Leal","Feirense",27,"CB",54.1,42.43,45.07,40.67,37.01,0,54,"D"
"2025/26","Liga 2","Lucas D'agrella","Farense",20,"CB",44.03,63.54,57.16,59.95,60.45,0,15,"A"
"2025/26","Liga 2","Alysson","Farense",23,"CB",34.89,25.37,55.22,44.03,32.84,0,56,"D"
"2025/26","Liga 2","F. Romero","Farense",31,"CB",65.86,64.61,73.43,53.36,66.12,0,12,"A"
"2025/26","Liga 2","Rúben Fernandes","Farense",39,"CB",40.3,56.4,49.85,51.74,57.31,0,28,"C"
"2025/26","Liga 2","Bruno Rodrigues","Chaves",24,"CB",56.16,40.3,59.25,59.08,41.79,0,22,"B"
"2025/26","Liga 2","Tiago Simões","Chaves",25,"CB",77.05,56.18,66.87,26.99,39.55,0,48,"D"
"2025/26","Liga 2","Z. Muscat","Chaves",32,"CB",27.61,50.75,57.76,70.52,59.4,0,8,"A"
"2025/26","Liga 2","Carraça","Chaves",33,"CB",38.43,73.45,66.57,20.77,65.67,0,42,"C"
"2025/26","Liga 2","Ricardo Alves","Chaves",34,"CB",41.42,56.61,44.93,37.19,61.34,0,49,"D"
"2025/26","Liga 2","Rui Silva","Benfica II",18,"CB",27.61,30.7,27.46,58.83,32.39,0,50,"D"
"2025/26","Liga 2","Gonçalo Oliveira","Benfica II",19,"CB",79.29,75.16,90.45,52.24,69.7,0,4,"S"
"2025/26","Liga 2","João Fonseca","Benfica II",19,"CB",87.87,68.02,36.12,55.97,65.07,0,24,"B"
"2025/26","Liga 2","Martim Ferreira","Benfica II",20,"CB",23.88,38.38,31.04,55.85,45.07,0,44,"C"
"2025/26","Liga 2","N. Michelis","Académico de Viseu F.C.",24,"CB",50.75,35.61,61.19,61.44,57.46,0,21,"B"
"2025/26","Liga 2","A. Correia","Académico de Viseu F.C.",26,"CB",63.06,57.04,52.24,16.67,44.93,0,61,"E"
"2025/26","Liga 2","Pedro Barcelos","Académico de Viseu F.C.",30,"CB",21.27,42.11,57.61,34.83,57.91,0,53,"D"
"2025/26","Liga 2","José Neto","Benfica II",17,"FB & WB",85.96,56.27,44.21,49.71,37.02,0,30,"C"
"2025/26","Liga 2","Daniel Banjaqui","Benfica II",17,"FB & WB",51.54,43.11,52.81,23.39,40.18,0,51,"E"
"2025/26","Liga 2","Salvador Blopa","Sporting CP II",18,"FB & WB",91.45,73.93,58.6,56.73,56.67,0,7,"A"
"2025/26","Liga 2","Kaio Henrique","Porto II",19,"FB & WB",18.2,18.55,65.79,44.88,36.14,0,45,"D"
"2025/26","Liga 2","Tiago Parente","Benfica II",19,"FB & WB",19.52,39.85,50.53,31.29,48.77,0,49,"E"
"2025/26","Liga 2","Kevin Pinto","Benfica II",19,"FB & WB",45.83,41.98,31.58,22.08,31.4,0,55,"F"
"2025/26","Liga 2","Pedro Lima","Porto II",19,"FB & WB",19.52,27.19,28.77,53.22,30.88,0,52,"E"
"2025/26","Liga 2","Gu Costa","Académico de Viseu F.C.",20,"FB & WB",40.57,61.4,59.65,71.49,69.47,0,3,"A"
"2025/26","Liga 2","José Silva","Sporting CP II",20,"FB & WB",88.38,80.33,50.53,43.71,81.05,0,19,"B"
"2025/26","Liga 2","Leandro Santos","Benfica II",20,"FB & WB",73.68,62.28,40.7,58.63,61.23,0,22,"C"
"2025/26","Liga 2","Rodrigo Dias","Sporting CP II",20,"FB & WB",40.35,49.75,72.46,63.3,65.96,0,9,"A"
"2025/26","Liga 2","Rodrigo Rêgo","Benfica II",21,"FB & WB",86.18,93.36,76.84,51.46,74.91,0,1,"S"
"2025/26","Liga 2","Edney","Portimonense",21,"FB & WB",48.46,49,35.09,34.65,30.7,0,50,"E"
"2025/26","Liga 2","Dinis Rodrigues","Porto II",21,"FB & WB",29.17,41.98,52.98,52.19,51.58,0,32,"C"
"2025/26","Liga 2","Xavi Grande","Marítimo",21,"FB & WB",19.74,40.1,61.93,70.91,57.37,0,14,"B"
"2025/26","Liga 2","David Kusso","Chaves",22,"FB & WB",65.35,73.18,31.4,33.19,55.61,0,43,"D"
"2025/26","Liga 2","Miguel Mota","Paços de Ferreira",22,"FB & WB",67.11,50.63,57.89,53.65,45.96,0,24,"C"
"2025/26","Liga 2","Gonçalo Braga","Lusitania FC Lourosa",22,"FB & WB",15.35,23.93,42.63,44.74,45.61,0,53,"E"
"2025/26","Liga 2","Leandro Dias","Paços de Ferreira",22,"FB & WB",31.8,37.84,35.61,21.93,26.49,0,56,"F"
"2025/26","Liga 2","Gonçalo Negrão","Penafiel",23,"FB & WB",67.54,52.88,36.84,36.84,40.35,0,47,"D"
"2025/26","Liga 2","Douglas Borel","UD Oliveirense",23,"FB & WB",34.21,34.09,30.88,26.02,30.53,0,57,"F"
"2025/26","Liga 2","Italo","Vizela",23,"FB & WB",64.47,72.43,30.18,81.58,87.37,0,5,"A"
"2025/26","Liga 2","Toni Herrero","Farense",24,"FB & WB",42.98,51.13,45.61,56.43,65.79,0,26,"C"
"2025/26","Liga 2","André Lopes","Feirense",24,"FB & WB",30.92,33.96,40.35,55.26,44.74,0,44,"D"
"2025/26","Liga 2","Tiago Almeida","Chaves",24,"FB & WB",65.57,49.25,58.07,42.11,39.82,0,33,"C"
"2025/26","Liga 2","B. Godwin","Vizela",24,"FB & WB",23.9,39.85,57.54,64.18,67.37,0,21,"C"
"2025/26","Liga 2","Anilson","Paços de Ferreira",24,"FB & WB",53.07,40.6,53.68,61.99,39.47,0,25,"C"
"2025/26","Liga 2","Heitor","Portimonense",25,"FB & WB",37.5,53.38,60.53,60.53,52.28,0,18,"B"
"2025/26","Liga 2","Eirô","Felgueiras 1932",25,"FB & WB",42.54,53.13,64.21,64.91,58.6,0,10,"B"
"2025/26","Liga 2","Pedro Rosas","Felgueiras 1932",25,"FB & WB",91.23,75.44,45.61,60.53,58.95,0,11,"B"
"2025/26","Liga 2","Javi Vázquez","Torreense",25,"FB & WB",75.44,66.29,71.93,37.28,50.18,0,20,"B"
"2025/26","Liga 2","Luiz Gustavo","Feirense",26,"FB & WB",31.8,31.95,43.51,55.26,54.04,0,42,"D"
"2025/26","Liga 2","Aarón Romero","Chaves",26,"FB & WB",81.8,71.68,45.79,60.82,75.44,0,12,"B"
"2025/26","Liga 2","Tomás Domingos","Académico de Viseu F.C.",26,"FB & WB",56.36,45.49,50.88,50.15,51.05,0,35,"C"
"2025/26","Liga 2","Marc Baró","União de Leiria",26,"FB & WB",30.92,62.66,75.44,54.09,82.28,0,6,"A"
"2025/26","Liga 2","Armando Lopes","UD Oliveirense",26,"FB & WB",83.33,71.93,54.39,67.25,63.86,0,4,"A"
"2025/26","Liga 2","Maga","União de Leiria",26,"FB & WB",72.81,58.4,50.35,65.06,53.33,0,17,"B"
"2025/26","Liga 2","N. Thio","Vizela",26,"FB & WB",84.87,81.33,34.21,15.79,64.39,0,48,"D"
"2025/26","Liga 2","Francisco Ferreira","Penafiel",27,"FB & WB",23.9,39.1,47.89,58.63,51.58,0,31,"C"
"2025/26","Liga 2","H. Sylla","União de Leiria",27,"FB & WB",49.78,62.91,56.14,37.43,68.25,0,28,"C"
"2025/26","Liga 2","Simão","Penafiel",27,"FB & WB",46.93,36.97,58.95,54.09,44.91,0,29,"C"
"2025/26","Liga 2","Zé Ricardo","Feirense",27,"FB & WB",25.22,48.37,45.96,64.33,51.05,0,23,"C"
"2025/26","Liga 2","Miguel Tavares","Vizela",27,"FB & WB",84.65,90.98,54.91,13.16,60.53,0,34,"C"
"2025/26","Liga 2","Robinho","Académico de Viseu F.C.",28,"FB & WB",21.71,29.45,72.28,70.47,43.33,0,16,"B"
"2025/26","Liga 2","João Silva","União de Leiria",28,"FB & WB",76.75,51.63,76.49,51.02,43.68,0,15,"B"
"2025/26","Liga 2","Bruno Pereira","Penafiel",28,"FB & WB",78.29,53.38,49.12,42.4,30.88,0,38,"C"
"2025/26","Liga 2","Danny","Lusitania FC Lourosa",28,"FB & WB",15.13,34.59,35.79,73.98,66.14,0,27,"C"
"2025/26","Liga 2","André Sousa","Paços de Ferreira",28,"FB & WB",58.99,30.95,38.95,62.28,38.77,0,41,"D"
"2025/26","Liga 2","Paulo Henrique","Marítimo",29,"FB & WB",61.84,52.13,59.65,64.77,54.74,0,13,"B"
"2025/26","Liga 2","Simãozinho","Leixões",30,"FB & WB",42.54,55.14,63.16,75.44,63.86,0,2,"A"
"2025/26","Liga 2","Igor Julião","Marítimo",31,"FB & WB",21.71,29.82,42.46,63.3,55.79,0,39,"C"
"2025/26","Liga 2","Luís Rocha","Lusitania FC Lourosa",32,"FB & WB",44.3,30.7,29.12,70.91,32.11,0,40,"D"
"2025/26","Liga 2","Derick Poloni","Farense",32,"FB & WB",75,77.19,36.84,36.7,52.98,0,36,"C"
"2025/26","Liga 2","Tiago Cerveira","Lusitania FC Lourosa",33,"FB & WB",21.27,22.43,30.18,42.98,11.75,0,54,"F"
"2025/26","Liga 2","João Reis","Portimonense",33,"FB & WB",76.1,64.79,79.82,46.93,40.18,0,8,"A"
"2025/26","Liga 2","David Bruno","Torreense",34,"FB & WB",29.82,31.2,70,43.86,30,0,37,"C"
"2025/26","Liga 2","Paulinho","Leixões",34,"FB & WB",36.62,47.74,52.28,30.12,32.63,0,46,"D"
"2025/26","Liga 2","A. Bastunov","Vizela",26,"MF",70.27,69.59,53.79,19.82,50.3,0,38,"C"
"2025/26","Liga 2","Moha Moukhliss","Vizela",26,"MF",45.08,47.94,81.82,27.15,38.79,0,30,"C"
"2025/26","Liga 2","A. Busnić","Vizela",28,"MF",46.02,34.96,42.27,71.09,51.67,0,33,"C"
"2025/26","Liga 2","Dani Borges","União de Leiria",22,"MF",90.91,64.72,65.45,72.98,51.06,0,1,"S"
"2025/26","Liga 2","Miguel Pires","União de Leiria",23,"MF",18.56,22.73,40.45,51.14,48.64,0,62,"E"
"2025/26","Liga 2","L. Vega","União de Leiria",26,"MF",90.72,54.76,31.67,41.29,36.06,0,52,"D"
"2025/26","Liga 2","M. Ondoa","UD Oliveirense",20,"MF",80.49,74.57,18.64,31.44,73.64,0,53,"D"
"2025/26","Liga 2","Sabino","UD Oliveirense",26,"MF",50.57,33.33,59.55,78.03,37.88,0,19,"B"
"2025/26","Liga 2","Diogo Pereira","UD Oliveirense",30,"MF",21.78,47.73,63.79,32.45,64.09,0,39,"C"
"2025/26","Liga 2","Arnau Casas","Torreense",21,"MF",57.01,33.44,35.3,52.78,36.82,0,58,"E"
"2025/26","Liga 2","Léo Azevedo","Torreense",21,"MF",71.59,57.25,49.85,84.47,57.12,0,9,"S"
"2025/26","Liga 2","André Simões","Torreense",22,"MF",22.73,52.16,49.55,52.27,69.09,0,29,"C"
"2025/26","Liga 2","A. Alfaro","Torreense",23,"MF",51.89,48.7,23.18,24.62,19.24,0,66,"F"
"2025/26","Liga 2","Guilherme Liberato","Torreense",24,"MF",27.08,43.72,51.67,54.8,52.73,0,32,"C"
"2025/26","Liga 2","Costinha","Torreense",33,"MF",79.92,68.51,35.76,27.53,43.18,0,45,"D"
"2025/26","Liga 2","Eduardo Felicissimo","Sporting CP II",19,"MF",26.89,26.41,65.76,51.77,32.58,0,40,"C"
"2025/26","Liga 2","Samuel Justo","Sporting CP II",21,"MF",76.14,62.99,67.88,45.71,45.15,0,17,"B"
"2025/26","Liga 2","Rayan Lucas","Sporting CP II",21,"MF",34.85,45.56,84.39,59.97,50.76,0,11,"A"
"2025/26","Liga 2","João Teixeira","Porto II",19,"MF",74.62,80.84,40.15,49.75,77.88,0,18,"B"
"2025/26","Liga 2","Kauê Rodrigues","Porto II",21,"MF",43.37,49.46,33.18,46.21,37.42,0,50,"D"
"2025/26","Liga 2","Domingos Andrade","Porto II",22,"MF",35.98,34.85,60,88.38,62.58,0,14,"A"
"2025/26","Liga 2","Mamede","Portimonense",23,"MF",69.13,78.79,50,39.52,66.52,0,21,"B"
"2025/26","Liga 2","Samuel Lobato","Portimonense",24,"MF",79.92,87.12,44.39,61.49,77.73,0,7,"S"
"2025/26","Liga 2","W. Cagro","Portimonense",26,"MF",74.81,54.65,42.88,28.03,50.61,0,55,"D"
"2025/26","Liga 2","Xavier","Portimonense",26,"MF",57.2,37.12,26.36,64.39,53.18,0,51,"D"
"2025/26","Liga 2","Zé Gabriel","Portimonense",27,"MF",21.59,43.61,60.45,39.02,47.88,0,41,"C"
"2025/26","Liga 2","I. Kébé","Penafiel",25,"MF",18.56,23.92,52.88,55.81,48.94,0,49,"D"
"2025/26","Liga 2","Álex Carbonell","Penafiel",28,"MF",19.7,24.35,42.12,38.64,39.7,0,65,"F"
"2025/26","Liga 2","Reko","Penafiel",30,"MF",73.67,59.74,24.39,28.16,38.18,0,60,"E"
"2025/26","Liga 2","Pedro Sá","Penafiel",32,"MF",31.44,25.97,46.52,61.87,35.76,0,44,"D"
"2025/26","Liga 2","Fernandinho","Paços de Ferreira",22,"MF",48.86,24.13,40.76,82.83,41.97,0,35,"C"
"2025/26","Liga 2","João Pinto","Paços de Ferreira",23,"MF",64.39,75.32,36.36,41.41,72.73,0,28,"C"
"2025/26","Liga 2","Nuno Cunha","Paços de Ferreira",25,"MF",70.64,72.84,67.73,62.63,70.15,0,2,"S"
"2025/26","Liga 2","Francisco Ramos","Paços de Ferreira",30,"MF",31.06,33.44,38.48,59.97,48.18,0,46,"D"
"2025/26","Liga 2","Marco Cruz","Marítimo",22,"MF",34.09,47.4,29.85,60.48,50,0,42,"C"
"2025/26","Liga 2","V. Danilović","Marítimo",26,"MF",27.27,29.87,74.09,68.56,56.36,0,20,"B"
"2025/26","Liga 2","I. Guirassy","Marítimo",27,"MF",46.97,31.71,56.21,64.65,49.85,0,31,"C"
"2025/26","Liga 2","Raphael Guzzo","Marítimo",31,"MF",82.39,77.71,69.39,41.29,51.21,0,10,"A"
"2025/26","Liga 2","Miguel Teixeira","Lusitania FC Lourosa",22,"MF",45.45,75.54,36.06,46.21,83.48,0,26,"C"
"2025/26","Liga 2","Tokinho","Lusitania FC Lourosa",29,"MF",30.3,32.25,59.7,52.27,51.52,0,37,"C"
"2025/26","Liga 2","Fabinho","Lusitania FC Lourosa",31,"MF",80.3,68.18,71.06,46.84,51.36,0,13,"A"
"2025/26","Liga 2","Arsénio","Lusitania FC Lourosa",36,"MF",61.17,68.61,38.79,23.36,58.33,0,48,"D"
"2025/26","Liga 2","Amadu Baldé","Leixões",20,"MF",21.59,16.88,55.45,52.65,24.7,0,57,"E"
"2025/26","Liga 2","Cláudio Araújo","Leixões",23,"MF",63.83,69.7,53.94,52.4,52.88,0,15,"B"
"2025/26","Liga 2","Neto","Leixões",34,"MF",29.92,32.68,70.3,60.61,26.97,0,24,"C"
"2025/26","Liga 2","H. Zagbayou","Leixões",35,"MF",10.8,11.26,30.76,70.96,29.09,0,61,"E"
"2025/26","Liga 2","Vasco Moreira","Felgueiras 1932",24,"MF",78.98,81.49,51.52,29.04,66.21,0,23,"B"
"2025/26","Liga 2","Gabi Pereira","Felgueiras 1932",25,"MF",51.33,61.69,73.03,61.49,75,0,8,"S"
"2025/26","Liga 2","Henrique Martins","Felgueiras 1932",28,"MF",19.32,20.45,48.48,74.37,32.42,0,36,"C"
"2025/26","Liga 2","Landinho","Felgueiras 1932",33,"MF",50,56.71,52.88,13.26,34.24,0,59,"E"
"2025/26","Liga 2","Gabriel Costa","Feirense",19,"MF",66.1,33.01,12.12,58.84,32.88,0,63,"F"
"2025/26","Liga 2","Tiago Ribeiro","Feirense",23,"MF",62.88,67.64,49.39,20.58,36.52,0,43,"D"
"2025/26","Liga 2","D. Doumbia","Feirense",24,"MF",31.63,29.65,21.52,51.64,46.82,0,64,"F"
"2025/26","Liga 2","Assane Ndiaye","Farense",26,"MF",25.76,40.37,50,72.73,60.3,0,22,"B"
"2025/26","Liga 2","Yannick Semedo","Farense",30,"MF",15.91,48.81,69.7,33.46,50.3,0,34,"C"
"2025/26","Liga 2","Cláudio Falcão","Farense",31,"MF",79.73,58.87,69.09,73.23,64.85,0,4,"S"
"2025/26","Liga 2","Ktatau","Chaves",24,"MF",32.58,60.28,58.64,40.53,63.03,0,27,"C"
"2025/26","Liga 2","Pedro Pinho","Chaves",25,"MF",61.17,58.33,84.09,59.6,46.06,0,5,"S"
"2025/26","Liga 2","J. Teixeira","Chaves",32,"MF",66.86,84.63,61.82,54.29,77.42,0,3,"S"
"2025/26","Liga 2","Miguel Figueiredo","Benfica II",17,"MF",80.87,66.23,77.88,56.19,48.33,0,6,"S"
"2025/26","Liga 2","Tiago Freitas","Benfica II",19,"MF",95.45,72.29,22.42,34.34,50.3,0,47,"D"
"2025/26","Liga 2","João Cruz","Benfica II",20,"MF",33.33,48.7,46.97,28.91,38.64,0,56,"E"
"2025/26","Liga 2","João Veloso","Benfica II",20,"MF",65.53,72.08,68.18,47.1,75.3,0,12,"A"
"2025/26","Liga 2","Diogo Prioste","Benfica II",21,"MF",41.86,44.81,64.7,53.28,55.15,0,25,"C"
"2025/26","Liga 2","S. Messeguem","Académico de Viseu F.C.",25,"MF",54.73,67.64,43.64,62.88,58.64,0,16,"B"
"2025/26","Liga 2","Luís Silva","Académico de Viseu F.C.",33,"MF",24.43,19.26,50.91,56.57,23.64,0,54,"D"
"2025/26","Liga 2","Rodrigo Ramos","Vizela",22,"AM & W",40.25,38.86,49.15,49.58,39.83,0,47,"D"
"2025/26","Liga 2","D. Loppy","Vizela",28,"AM & W",43.64,54.84,62.71,52.97,73.56,0,13,"B"
"2025/26","Liga 2","J. Van Der Gaag","União de Leiria",27,"AM & W",50.64,69.73,59.66,49.58,79.32,0,7,"B"
"2025/26","Liga 2","Jair Matheus","União de Leiria",28,"AM & W",52.54,63.08,57.97,80.51,75.76,0,4,"A"
"2025/26","Liga 2","A. Diallo","UD Oliveirense",23,"AM & W",16.1,45.88,45.25,15.54,47.46,0,56,"F"
"2025/26","Liga 2","João Adriano","UD Oliveirense",23,"AM & W",11.86,31.72,47.63,36.16,36.1,0,54,"E"
"2025/26","Liga 2","João Silva","UD Oliveirense",26,"AM & W",61.02,53.51,37.12,64.97,45.59,0,27,"C"
"2025/26","Liga 2","Bruno Silva","UD Oliveirense",28,"AM & W",54.45,45.76,43.05,47.18,65.42,0,46,"D"
"2025/26","Liga 2","D. Jean","Torreense",23,"AM & W",61.86,79.06,51.53,27.4,65.08,0,17,"C"
"2025/26","Liga 2","Manu Pozo","Torreense",24,"AM & W",69.28,62.83,51.86,43.64,57.29,0,21,"C"
"2025/26","Liga 2","I. Seydi","Torreense",24,"AM & W",81.78,57.14,30.68,53.53,55.59,0,40,"D"
"2025/26","Liga 2","Paulo Cardoso","Sporting CP II",19,"AM & W",57.42,68.64,42.37,53.81,80.34,0,15,"B"
"2025/26","Liga 2","Mauro Couto","Sporting CP II",20,"AM & W",35.81,32.81,68.14,66.67,37.46,0,23,"C"
"2025/26","Liga 2","Manuel Mendonça","Sporting CP II",20,"AM & W",34.75,39.47,67.97,62.57,43.73,0,18,"C"
"2025/26","Liga 2","André Miranda","Porto II",18,"AM & W",56.36,43.95,39.15,69.21,53.05,0,33,"C"
"2025/26","Liga 2","Gonçalo Sousa","Porto II",19,"AM & W",61.23,61.26,58.31,27.54,52.37,0,32,"C"
"2025/26","Liga 2","Tiago Andrade","Porto II",20,"AM & W",55.51,50.61,20.51,59.89,50.85,0,49,"D"
"2025/26","Liga 2","Ángel Alarcón","Porto II",21,"AM & W",22.03,42.62,66.1,28.39,53.39,0,45,"D"
"2025/26","Liga 2","Danio Djassi","Portimonense",19,"AM & W",50.42,53.87,61.86,46.61,68.31,0,20,"C"
"2025/26","Liga 2","Álvaro Santos","Penafiel",20,"AM & W",51.69,52.18,38.47,26.84,46.27,0,52,"E"
"2025/26","Liga 2","Rúben Alves","Penafiel",30,"AM & W",8.47,40.56,96.27,38.14,54.07,0,14,"B"
"2025/26","Liga 2","Davo","Penafiel",31,"AM & W",64.19,59.69,54.07,29.24,44.92,0,37,"C"
"2025/26","Liga 2","Vladimir Silva","Paços de Ferreira",16,"AM & W",13.14,26.39,66.44,58.05,43.39,0,41,"D"
"2025/26","Liga 2","Ronaldo Lumungo","Paços de Ferreira",24,"AM & W",51.06,62.59,17.97,50.42,74.58,0,42,"D"
"2025/26","Liga 2","Costinha","Paços de Ferreira",24,"AM & W",64.62,52.06,59.83,49.86,43.05,0,22,"C"
"2025/26","Liga 2","Martín Tejón","Marítimo",21,"AM & W",55.93,63.44,71.53,49.01,50,0,6,"A"
"2025/26","Liga 2","B. Simo","Marítimo",26,"AM & W",81.57,65.86,73.56,73.73,50,0,1,"S"
"2025/26","Liga 2","Carlos Daniel","Marítimo",31,"AM & W",88.56,46.73,24.92,50.85,22.2,0,51,"E"
"2025/26","Liga 2","Tiago Dias","Lusitania FC Lourosa",27,"AM & W",63.98,78.93,62.37,22.18,68.64,0,12,"B"
"2025/26","Liga 2","João Vasco","Lusitania FC Lourosa",31,"AM & W",82.63,36.44,38.47,75.85,23.9,0,38,"C"
"2025/26","Liga 2","Werton","Leixões",22,"AM & W",55.08,66.83,70.85,62.85,75.25,0,3,"S"
"2025/26","Liga 2","Paulite","Leixões",25,"AM & W",55.3,32.32,27.46,55.37,42.37,0,55,"E"
"2025/26","Liga 2","Salvador Agra","Leixões",34,"AM & W",28.81,30.15,43.73,55.08,42.54,0,50,"E"
"2025/26","Liga 2","Berna","Felgueiras 1932",22,"AM & W",11.44,14.65,78.98,65.4,47.8,0,36,"C"
"2025/26","Liga 2","M. Jean-Marie","Felgueiras 1932",23,"AM & W",50.85,74.82,45.25,56.78,78.64,0,8,"B"
"2025/26","Liga 2","Michel Costa","Felgueiras 1932",24,"AM & W",15.68,37.41,67.8,46.47,48.31,0,35,"C"
"2025/26","Liga 2","Tiago Leite","Felgueiras 1932",25,"AM & W",72.46,43.58,24.07,33.9,24.92,0,57,"F"
